University Name,Country,City,QS Ranking 2025,Public or Private,Tuition Fees (International),Application Fee,IELTS Requirement,TOEFL Requirement,Duolingo Requirement,Minimum GPA,Admission Deadline,Programs Available,Scholarship Available,Scholarship Details,Intake Seasons,Application Link,Official Website,Campus Image URL 1,Campus Image URL 2,Campus Image URL 3,University Logo URL,Notes
Massachusetts Institute of Technology (MIT),USA,Cambridge (MA),1,Private,USD 64310/year (UG); USD 61990–118450/year (PG),USD 75 (UG); USD 90 (PG),7.0+,90+ iBT,120,3.9 (UG competitive); 3.5+ (PG),Nov 1 (EA); Jan 5 (RD); Dec 1 (PG many programs),"Engineering, Computer Science, Physics, Mathematics, Architecture, Business Analytics (MBA), Chemistry, Biology, Economics, Urban Planning",Yes,Need-based; 100% of demonstrated need met; research assistantships and fellowships for PG,Fall,https://apply.mit.edu,https://www.mit.edu,https://news.mit.edu/sites/default/files/images/202009/MIT-campus-aerial.jpg,https://news.mit.edu/sites/default/files/images/202103/mit-dome-exterior.jpg,https://news.mit.edu/sites/default/files/images/202210/killian-court.jpg,https://web.mit.edu/graphicidentity/images/mit-logo.svg,GRE not accepted by some departments; 3 LORs required for PG; IELTS preferred at some departments
Imperial College London,UK,London,2,Public,£37900–£53700/year (PG Int'l); £9535/year (UG Home),£50 (UG via UCAS); £100 (MBA),6.5 standard; 7.0 higher requirement,92 iBT (standard); 100 (higher),Accepted (DET),3.7/4.0,Jan 31 (UG via UCAS); varies by PG program (rolling),"Engineering, Medicine, Natural Sciences, Business, Computing, Mathematics, Chemistry, Physics, Life Sciences",Yes,"President's PhD Scholarships; Imperial Bursary (Home UG); departmental scholarships; President's Excellence PhD Scholarship",Fall (Sep),https://www.imperial.ac.uk/study/apply/,https://www.imperial.ac.uk,https://www.imperial.ac.uk/ImageCropToolT4/image/6374.img,https://www.imperial.ac.uk/ImageCropToolT4/image/2580.img,https://www.imperial.ac.uk/ImageCropToolT4/image/7090.img,https://www.imperial.ac.uk/design/images/imperial-logo.png,"GMAT/GRE required for MBA; ATAS certificate needed for some UK visa subjects; personal statement required"
University of Oxford,UK,Oxford,3,Public,£33050–£48620/year (UG Int'l); £23594–£80831 (PG Int'l),£22.50 (UG via UCAS); £75–£150 (PG),7.0 standard; 7.5 higher requirement,100 iBT (standard); 110 (higher),,3.7–4.0 (UG); 3.3+ (PG),Oct 15 (UG UCAS); Dec–Jan (PG scholarships); varies by PG program,"Arts & Humanities, Computer Science, Economics, Engineering, Law, Medicine, Natural Sciences, Philosophy, Politics, PPE, Social Sciences",Yes,"Clarendon Fund; Rhodes Scholarship; Oxford-Weidenfeld & Hoffmann; Felix Scholarships; Reach Oxford Scholarships",Fall (Oct),https://www.ox.ac.uk/admissions/undergraduate/applying-to-oxford,https://www.ox.ac.uk,https://www.ox.ac.uk/sites/files/oxford/styles/ow_medium_feature/s3/field/field_image_main/Radcliffe-Camera-and-All-Souls.jpg,https://www.ox.ac.uk/sites/files/oxford/styles/ow_medium_feature/s3/field/field_image_main/Bodleian-Library-exterior.jpg,https://www.ox.ac.uk/sites/files/oxford/styles/ow_medium_feature/s3/field/field_image_main/Christchurch-meadow.jpg,https://www.ox.ac.uk/sites/files/oxford/images/ox_brand/ox_brand_pos_rect.png,"Course-specific admissions tests: MAT (Maths); LNAT (Law); UCAT (Medicine); PAT (Physics); 2 academic references; GMAT 650+ for MBA"
Harvard University,USA,Cambridge (MA),4,Private,"USD 59000/year (UG tuition); ~USD 80000/year (total CoA)",USD 85,"6.5+ (PG GSAS min); not required UG","80+ iBT (PG GSAS min); not required UG",,3.0 (UG min); 3.5–3.9 (PG competitive),Nov 1 (EA); Jan 1 (RD); varies by PG school,"Arts & Humanities, Business (MBA), Computer Science, Education, Engineering, Law, Medicine, Natural Sciences, Public Policy, Social Sciences",Yes,"Need-based; 100% of demonstrated need; tuition-free for families under USD 200000/year (2025–26 UG); no standalone merit scholarships",Fall,https://college.harvard.edu/admissions/apply,https://www.harvard.edu,https://www.harvard.edu/wp-content/uploads/2021/02/Harvard_University_campus.jpg,https://cdn.harvard.edu/wp-content/uploads/2024/09/widener-library-exterior.jpg,https://cdn.harvard.edu/wp-content/uploads/2024/09/annenberg-hall.jpg,https://www.harvard.edu/wp-content/themes/core/images/harvard-logo.svg,"SAT/ACT required UG Class 2029+; CSS Profile + FAFSA for aid; 2–3 LORs; application fee waiver available"
University of Cambridge,UK,Cambridge,5,Public,£26031–£67194/year (UG Int'l); £24789–£69000/year (PG Int'l),£75 (PG); UCAS £27.50 (UG),"7.5 (no band below 7.0)","110 iBT (no section below 25)",,3.7+ (UG); 3.7+ (PG),Oct 15 (UG UCAS); Sep–Dec (PG varies by program),"Biological Sciences, Computer Science, Economics, Engineering, History, Law, Mathematics, Medicine, Modern Languages, Natural Sciences, Philosophy",Yes,"Cambridge Trust Scholarships; Gates Cambridge Scholarship; Commonwealth Shared Scholarship; Prince of Wales Scholarship",Fall (Oct),https://www.undergraduate.study.cam.ac.uk/applying,https://www.cam.ac.uk,https://www.cam.ac.uk/sites/www.cam.ac.uk/files/inner-images/17-collegiate-university-king.jpg,https://www.cam.ac.uk/sites/www.cam.ac.uk/files/inner-images/17-collegiate-university-kings_college.jpg,https://www.cam.ac.uk/sites/www.cam.ac.uk/files/inner-images/17-collegiate-university-bridge_of_sighs.jpg,https://www.cam.ac.uk/sites/www.cam.ac.uk/files/inner-images/Cam_logo.png,"Course-specific tests: ESAT (Engineering/Science); UCAT (Medicine); LNAT (Law); 2 academic references; college system; SAQ required"
Stanford University,USA,Stanford (CA),6,Private,"USD 67731/year (PG avg tuition); ~USD 85000/year total (UG)",USD 90,"7.0+ (UG & most PG)","100+ iBT (UG); 89–100+ (PG varies)",,3.9+ (UG competitive); 3.5 (PG min),Nov 1 (REA); Jan 5 (RD UG); varies by PG dept,"Arts & Humanities, Business (MBA), Computer Science, Earth Sciences, Education, Engineering, Law, Medicine, Natural Sciences, Social Sciences",Yes,"Need-based; 100% of demonstrated need; Tata Scholarship (Indian students); Reliance Dhirubhai Fellowship (MBA); departmental fellowships",Fall,https://apply.stanford.edu,https://www.stanford.edu,https://news.stanford.edu/wp-content/uploads/2024/03/stanford-campus-aerial.jpg,https://news.stanford.edu/wp-content/uploads/2024/06/stanford-oval.jpg,https://news.stanford.edu/wp-content/uploads/2024/01/hoover-tower.jpg,https://identity.stanford.edu/wp-content/uploads/sites/3/2020/07/SU_SealColor_2color.png,"SAT/ACT required for Fall 2025+ UG; GRE/GMAT required for some PG; optional arts portfolio for UG; max 3 UG applications"
ETH Zurich,Switzerland,Zurich,7,Public,CHF 2190/year (~USD 2400; same for all students),None for UG; CHF 150 (PG),"6.0–7.0 (program-specific)","90–100 iBT",,2.0+ (Swiss scale),Nov 1–Dec 15 (UG); Nov–April (PG varies),"Architecture, Biochemistry, Biology, Chemistry, Civil Engineering, Computer Science, Earth Sciences, Electrical Engineering, Environmental Science, Mathematics, Physics",Yes,"ESOP Excellence Scholarship (PG); ETH Foundation scholarships; various departmental grants",Fall (Sep),https://www.ethz.ch/en/studies/registration-and-application.html,https://www.ethz.ch,https://ethz.ch/en/news-and-events/eth-news/news/2021/07/photos-from-the-campus/_jcr_content/news_content/fullwidthimage/image.imageformat.fullwidth.1199756617.jpg,https://ethz.ch/en/news-and-events/eth-news/news/2019/11/campus-beautiful-shot/_jcr_content/news_content/fullwidthimage/image.imageformat.fullwidth.1001854073.jpg,https://ethz.ch/en/campus/campus-at-a-glance/_jcr_content/fullwidthimage/image.imageformat.fullwidth.1267893491.jpg,https://www.ethz.ch/etc/designs/ethz/img/header/ethz-logo-black.svg,"UG Bachelor's taught primarily in German; PG Master's mostly in English; very affordable tuition; 21 Nobel Prize alumni"
National University of Singapore (NUS),Singapore,Singapore,8,Public,SGD 27000–38000/year (UG Int'l); SGD 22000–50000/year (PG Int'l),SGD 20–50,6.5–7.0,92–100 iBT,,3.0–3.5,Feb–Mar (UG); Oct–Jan (PG varies),"Architecture, Business Analytics, Chemistry, Computer Science, Data Science, Dentistry, Engineering, Law, MBA, Medicine, Social Sciences",Yes,"NUS Research Scholarship; ASEAN Undergraduate Scholarship; Science & Technology Scholarship; MOE Tuition Grant (requires 3-year bond to work in Singapore after graduation)",Fall (Aug),https://www.nus.edu.sg/oam/admissions,https://www.nus.edu.sg,https://www.nus.edu.sg/images/default-source/homepage-images/nus-utown-aerial.jpg,https://www.nus.edu.sg/images/default-source/homepage-images/university-cultural-centre.jpg,https://www.nus.edu.sg/images/default-source/homepage-images/kent-ridge-campus.jpg,https://www.nus.edu.sg/images/default-source/nus-logos/nus-logo-full-colour.png,"MOE Tuition Grant reduces fees 40–60%; requires service bond; GRE/GMAT for some PG programs; 2–3 LORs for PG"
UCL (University College London),UK,London,9,Public,£22400–£35700/year (UG Int'l); £14000–£35000/year (PG Int'l),£75 (UG UCAS); varies (PG),"6.5–7.5 (program-specific)","90–100 iBT",,3.3+,Jan 31 (UG UCAS); varies by PG program,"Architecture, Arts & Humanities, Biomedical Sciences, Computer Science, Economics, Education, Engineering, Law, Medicine, Natural Sciences, Social Sciences",Yes,"UCL Global Undergraduate Scholarship; Denys Holland Scholarship; doctoral studentships; departmental bursaries",Fall (Sep),https://www.ucl.ac.uk/prospective-students/undergraduate/application,https://www.ucl.ac.uk,https://www.ucl.ac.uk/news/sites/news/files/ucl-quad-20180620-9001.jpg,https://www.ucl.ac.uk/news/sites/news/files/students-campus-library.jpg,https://www.ucl.ac.uk/news/sites/news/files/ucl-main-building.jpg,https://www.ucl.ac.uk/brand/sites/brand/files/styles/ucl_wide/public/ucl_logo_dark.png,"Personal statement required; UCAT for Medicine; LNAT for Law; some programs require portfolio; strong research focus"
California Institute of Technology (Caltech),USA,Pasadena (CA),10,Private,USD 63471/year (UG); USD 65505/year (PG),USD 75,"7.0+","100+ iBT",,3.5+,Nov 1 (EA); Jan 3 (RD); Dec 15 (PG),"Astrophysics, Biology, Chemistry, Computer Science, Engineering, Geology, Mathematics, Physics",Yes,"Need-based financial aid; Caltech Student–Faculty Programs scholarship; merit fellowships for PG",Fall,https://www.admissions.caltech.edu,https://www.caltech.edu,https://www.caltech.edu/sites/default/files/styles/1920x1080/public/2020-02/campus-aerial-spring.jpg,https://www.caltech.edu/sites/default/files/styles/1920x1080/public/2020-02/beckman-auditorium.jpg,https://www.caltech.edu/sites/default/files/styles/1920x1080/public/2020-02/millikan-library.jpg,https://www.caltech.edu/sites/default/files/2020-02/caltech-logo.png,"Very small highly selective STEM institution; SAT/ACT required; strong research culture"
