University Name,Country,City,Official Website,Founded Year,University Type,Campus Type,QS Ranking (2025/26),THE Ranking (2025/26),Acceptance Rate,Program Level,Language,Intake Periods,IELTS Required,TOEFL Required,Tuition Fee (Annual),Currency,Living Cost (Annual),Scholarship Available,Library,Research Centers,Campus Image URL
Massachusetts Institute of Technology (MIT),USA,Cambridge,www.mit.edu,1861,Private,Urban,1,2,Selective,UG/PG/PhD,English,Fall,7.0,100,62000,USD,30000,Yes,Widener Library,MIT.nano,https://brand.mit.edu/applying-brand/photography
Harvard University,USA,Cambridge,www.harvard.edu,1636,Private,Urban,4,3,Selective,UG/PG/PhD,English,Fall,7.5,100,58000,USD,26000,Yes,Widener Library,Research-intensive,https://www.gettyimages.com/photos/harvard-university-building
Stanford University,USA,Stanford,www.stanford.edu,1885,Private,Suburban,6,6,Selective,UG/PG/PhD,English,Fall,7.0,100,68000,USD,32000,Yes,Hoover Tower,Silicon Valley driver,https://www.stanford.edu/
California Institute of Technology (Caltech),USA,Pasadena,www.caltech.edu,1891,Private,Urban,10,7,Selective,UG/PG/PhD,English,Fall,7.0,100,66000,USD,28000,Yes,Available,Space Science hubs,https://www.caltech.edu/about/visit/campus-tours
University of Pennsylvania,USA,Philadelphia,www.upenn.edu,1740,Private,Urban,11,14,Selective,UG/PG/PhD,English,Fall,6.5,100,56000,USD,28000,Yes,Available,Biomedical centers,https://www.upenn.edu/about/visit
University of California Berkeley (UCB),USA,Berkeley,www.berkeley.edu,1868,Public,Urban,12,8,15%,UG/PG/PhD,English,Fall/Spring,7.0,90,35000,USD,25000,Yes,Sather Tower,Data Science hubs,https://www.berkeley.edu/visit
Cornell University,USA,Ithaca,www.cornell.edu,1865,Private,Suburban,16,20,Selective,UG/PG/PhD,English,Fall/Spring,7.5,100,52000,USD,22000,Yes,Available,Agricultural hubs,https://www.cornell.edu/about/visit/
University of Chicago,USA,Chicago,www.uchicago.edu,1890,Private,Urban,21,14,Selective,UG/PG/PhD,English,Fall,7.0,100,71000,USD,28000,Yes,Available,Economic hubs,https://www.uchicago.edu/visit/
Princeton University,USA,Princeton,www.princeton.edu,1746,Private,Suburban,22,4,Selective,UG/PG/PhD,English,Fall,8.0,108,61000,USD,25000,Yes,Firestone Library,Advanced physics,https://www.princeton.edu/visit
Yale University,USA,New Haven,www.yale.edu,1701,Private,Urban,23,10,Selective,UG/PG/PhD,English,Fall,7.0,100,66000,USD,26000,Yes,Available,Humanities centers,https://www.yale.edu/visit
Columbia University,USA,New York,www.columbia.edu,1754,Private,Urban,34,18,Selective,UG/PG/PhD,English,Fall/Spring,7.5,100,72000,USD,35000,Yes,Butler Library,Journalism hubs,https://www.columbia.edu/content/visit-us
Johns Hopkins University,USA,Baltimore,www.jhu.edu,1876,Private,Urban,32,16,Selective,UG/PG/PhD,English,Fall/Spring,7.0,100,68000,USD,26000,Yes,Available,Public Health centers,https://www.jhu.edu/visit/
University of Michigan-Ann Arbor,USA,Ann Arbor,www.umich.edu,1817,Public,Urban,44,22,18%,UG/PG/PhD,English,Fall/Spring,7.0,100,80000,USD,20000,Yes,Available,Engineering hubs,https://admissions.umich.edu/visit/campus-tours
University of Toronto,Canada,Toronto,www.utoronto.ca,1827,Public,Urban,25,21,43%,UG/PG/PhD,English,Fall/Winter,6.5,100,58000,CAD,25000,Yes,Hart House,MaRS Discovery,https://www.gettyimages.com/photos/university-of-toronto-buildings
McGill University,Canada,Montreal,www.mcgill.ca,1821,Public,Urban,29,41,46.3%,UG/PG/PhD,English,Fall/Winter,6.5,90,35000,CAD,20000,Yes,Historic library,Medical institutes,https://www.shutterstock.com/search/mcgill-university-campus
University of British Columbia (UBC),Canada,Vancouver,www.ubc.ca,1915,Public,Urban,38,45,52.4%,UG/PG/PhD,English,Fall/Winter,6.5,90,45000,CAD,24000,Yes,Beaty Museum,Life Sciences,https://www.ubc.ca/about/visit/
University of Alberta,Canada,Edmonton,www.ualberta.ca,1908,Public,Urban,96,119,58%,UG/PG/PhD,English,Fall/Winter,6.5,90,21000,CAD,18000,Yes,Available,Energy research,https://www.ualberta.ca/visit
University of Waterloo,Canada,Waterloo,www.uwaterloo.ca,1957,Public,Urban,115,162,53%,UG/PG/PhD,English,Fall/Winter,7.0,90,55000,CAD,18000,Yes,Innovation hubs,Velocity Garage,https://uwaterloo.ca/innovation60/photo-gallery
Western University,Canada,London,www.uwo.ca,1878,Public,Urban,120,201,31%,UG/PG/PhD,English,Fall/Winter,6.5,83,42000,CAD,16000,Yes,Available,Economic hubs,https://www.welcome.uwo.ca/visit/
Université de Montréal,Canada,Montreal,www.umontreal.ca,1878,Public,Urban,159,150,45%,UG/PG/PhD,French,Fall/Winter,6.5,86,30000,CAD,20000,Yes,Large complex,Clinical labs,https://www.umontreal.ca/en/visit/
